name,bio,affiliation,thumbnail
Fangzheng Lyu,"I am currently a Ph.D. student in the Department of Geography and GIS at the University of Illinois at Urbana-Champaign, under the supervision of Dr. Shaowen Wang. I earned my M.S. in Geography from the University of Illinois at Urbana-Champaign in 2021 and my B.E. in Computer Engineering at the University of Hong Kong in 2018. My research interests include 1) examination and evaluation of heat dynamics in the urban area with cyberGIS and high-performance geospatial computing; 2) feature extraction using Light Detection and Ranging (LiDAR) data; and 3) scientific gateway construction for accessing high-performance computer (HPC).","University of Illinois at Urbana-Champaign",""
Furqan Baig,"Research Programmer at CyberGIS Center for Advanced Digital and Spatial Studies","University of Illinois at Urbana-Champaign",""
Jinwoo Park,"","University of North Dakota",""
